"";"year_of_birth";"height";"weight";"scars";"colour";"year_of_discovery";"number_of_lost_teeth";"life_length"
"1730";-231;47,0483027001402;13,4157488309823;15;"red";1787;13;1467,27905697773
"1731";-1225;40,4523689444241;10,1775124000796;26;"blue";1787;36;2361,15646459717
"1732";1326;45,369582755558;11,7572568259369;9;"red";1787;11;1107,37864147885
"1733";-1914;67,4127355460394;17,3301739795213;19;"blue";1787;10;1569,42601180298
"1734";-1981;53,0645739679027;15,2295272708214;5;"red";1787;23;1245,64820998831
"1735";-543;40,8246795039645;11,126341482913;1;"green";1787;40;1431,67996123263
"1736";-1844;47,1150736219329;13,8336689398502;7;"red";1787;17;1240,11112819127
"1737";-601;59,8390419451089;16,0159847429891;60;"red";1787;1;3027,51783073764
"1738";1728;57,9445517429217;14,4926195631984;9;"green";1787;12;1186,99429443046
"1739";1390;47,9918427075795;12,8867570947672;30;"red";1787;25;2223,76105270391
"1740";231;50,1668376576039;12,9898044040397;37;"red";1787;21;2475,80920403668
"1741";1760;55,2571299938987;15,0819182429463;2;"red";1788;13;976,382488978022
"1742";-1796;45,3665270718604;13,9565848666577;20;"green";1788;35;2116,27059197495
"1743";901;54,9661312595261;14,3115563958015;0;"red";1788;39;1296,47237666608
"1744";1599;54,3546258020163;13,9568197126987;2;"black";1788;20;1104,23951346125
"1745";-1571;41,0871707175545;11,3668473635535;63;"red";1788;36;3840,85050414986
"1746";-1930;48,1416405589134;14,9409263318773;26;"red";1788;7;1779,46361183673
"1747";-939;50,7571184993517;13,221903054155;7;"blue";1788;23;1319,16430533625
"1748";-9;44,717586741595;11,3538383452218;8;"blue";1788;35;1618,19736588548
"1749";395;44,3068680434138;11,3921836825814;10;"red";1788;5;1089,10588565514
"1750";-1679;57,3794583218045;14,9490642362708;11;"red";1788;32;1658,69185648604
"1751";-92;48,6252923469742;12,9125292505948;13;"red";1788;31;1784,29296376172
"1752";-1034;44,7900375668106;11,6727021108418;7;"red";1788;14;1181,02574075764
"1753";-1732;55,4601536395755;14,3387102969638;26;"red";1788;6;1738,59353965448
"1754";-947;52,1932163332637;13,537777638553;1;"red";1788;1;661,955768457953
"1755";-1355;46,7133098812039;12,1454186953886;2;"red";1788;13;927,799520612953
"1756";-1976;44,6894473380137;12,3563266364137;13;"blue";1788;2;1142,18391290469
"1757";-517;45,4287430377831;11,844317354126;10;"green";1788;26;1503,8764259374
"1758";1262;48,4161166695355;12,3269299424602;11;"red";1788;13;1206,70330956787
"1759";-1821;41,9231509740615;12,1870099143952;9;"blue";1789;21;1390,84772023928
"1760";1008;50,2282865730129;12,6333798741227;5;"red";1789;13;956,928292941298
"1761";207;47,7679461544946;12,7105297903717;20;"green";1789;3;1445,24052270469
"1762";-223;53,9241829885937;15,1945914692153;10;"blue";1789;16;1378,26547454351
"1763";1230;45,9589624162227;12,1800209260412;9;"red";1789;25;1320,38103289144
"1764";84;48,7164363403555;13,1388692737093;25;"green";1789;32;2206,54644899605
"1765";-899;38,4402514979706;9,80585177905153;0;"blue";1789;29;1193,40388395572
"1766";-1054;46,8640119882001;14,9057273453675;15;"red";1789;11;1378,80248733456
"1767";1272;37,6640278286889;11,2027226717944;3;"blue";1789;9;761,042920723993
"1768";225;54,9205581866786;13,9407636980672;4;"red";1789;0;768,456536720991
"1769";-438;50,1580012750074;13,4220514225402;7;"red";1789;7;1031,52364838856
"1770";-1198;52,0930035606371;13,0362854126927;17;"red";1789;1;1315,85004460529
"1771";1149;45,7539509265572;12,0325061229728;15;"red";1789;30;1717,98924004432
"1772";-1451;35,8050433519503;9,10912619371019;7;"blue";1789;8;1072,02878854722
"1773";-1271;50,4794630388019;12,9121260870769;8;"green";1789;3;968,188617900027
"1774";-573;57,0850908141012;14,3853820185034;1;"blue";1789;37;1358,16034780339
"1775";60;51,7700013969748;16,2921606189917;3;"green";1789;14;986,764898649232
"1776";480;48,3870856059035;14,1515193684413;12;"blue";1789;30;1671,98002394508
"1777";399;48,6373143252481;12,4195476980072;1;"green";1789;8;812,947809113303
"1778";1646;54,5406945911967;14,3380429578009;24;"green";1789;19;1955,43621296245
"1779";949;44,1717554837263;11,2923790336103;16;"blue";1789;27;1703,83266000658
"1780";-260;47,9835103245809;13,138044338128;5;"blue";1790;22;1242,36523618438
"1781";-595;47,2109576849857;12,9438100655756;6;"blue";1790;38;1603,49660492391
"1782";1029;58,3267583711882;15,3622393406244;0;"blue";1790;2;534,632711068603
"1783";-47;49,7316606795456;13,4637428364772;1;"red";1790;29;1239,33969495261
"1784";561;50,2278337429781;12,6665987988827;16;"red";1790;2;1157,16708101613
"1785";-1151;30,3141408524212;8,99530973553443;0;"green";1790;3;662,678223555569
"1786";421;46,5361456003986;15,0691060503432;15;"green";1790;9;1363,12737879992
"1787";1074;50,848051994512;13,5560072882226;0;"red";1790;24;1005,38416088745
"1788";1023;66,6850664899099;17,3078575014223;34;"green";1790;11;2060,68058542371
"1789";-356;46,465916070493;14,2176604594152;11;"blue";1790;19;1410,06352775898
"1790";-908;53,8271875341881;13,9282355424067;13;"blue";1790;9;1309,72021900997
"1791";1274;50,0283341930355;13,9952899682686;24;"red";1790;32;2092,22609466782
"1792";713;56,2881551820836;14,8895467514743;5;"red";1790;28;1277,54809703306
"1793";-1818;54,5121851731993;14,7363273720062;25;"red";1790;35;2332,9135462024
"1794";1386;49,4914696710779;13,9877578608466;9;"red";1790;1;880,659418857594
"1795";-995;58,78184174319;15,0360553952428;1;"blue";1790;35;1338,12697809198
"1796";-1368;57,6145941172833;14,4572065087295;19;"blue";1790;13;1622,32506569148
"1797";-1359;43,0668913254389;10,9894013627867;1;"red";1790;10;809,8831278232
"1798";1553;51,1578118320403;12,9048701493032;14;"green";1790;25;1619,80100391447
"1799";1397;54,2639132450315;15,0299526726208;14;"blue";1790;38;1843,07774992534
"1800";-1617;41,5627446002986;11,2652710315768;9;"red";1790;8;1106,81183716292
"1801";739;50,1373764971959;13,7375198608482;5;"red";1791;30;1322,27060315698
"1802";251;49,7978835707082;12,5653444816528;1;"red";1791;8;804,653490831393
"1803";30;53,0031587026841;13,3443734432263;1;"red";1791;38;1403,25032196785
"1804";-387;42,9758501863376;12,1840734871353;0;"blue";1791;18;968,525310952089
"1805";-791;52,0248263660919;14,2448036334082;7;"green";1791;14;1144,23179419886
"1806";599;45,5567873470082;11,4698569253546;2;"blue";1791;18;981,781455450567
"1807";-243;46,0984184440525;12,2923947264859;13;"red";1791;35;1795,54251818042
"1808";86;43,8250189753483;10,9624529901023;4;"red";1791;13;1062,77283360796
"1809";-229;56,6408391755281;15,0230246011731;11;"blue";1791;33;1684,09751551085
"1810";365;37,8200581604153;11,8678037450707;5;"red";1791;34;1502,96865529521
"1811";-25;51,6961340629826;13,2024679450634;14;"red";1791;38;1943,39144159096
"1812";1599;51,7117367289492;14,9692294702839;9;"red";1791;40;1742,77151330349
"1813";-1589;56,0116158094839;16,1156762623976;4;"blue";1791;15;1089,37422903055
"1814";-1307;52,3962893400801;14,6041210381917;2;"blue";1791;20;1046,58700176947
"1815";1666;33,0774740519866;10,4074197904592;28;"red";1791;8;1885,67407254658
"1816";-1744;41,8184533129637;12,3322905974369;21;"red";1791;30;2047,94380440638
"1817";682;42,1333232455208;11,656670427516;16;"blue";1791;16;1456,22371563795
"1818";788;49,1714947437029;12,6411952904682;46;"green";1791;12;2586,68727282954
"1819";-1031;60,2128222082291;15,4601710722902;7;"red";1791;40;1669,22499844112
"1820";-1353;52,8700435683541;13,5590666714227;2;"blue";1791;21;1086,46584807682
"1821";-639;59,004920572041;15,1690587997433;8;"red";1791;15;1210,65166106411
"1822";-1212;56,1027189297931;15,7426592769741;9;"green";1791;8;1106,08896667999
"1823";1766;51,5132953899384;14,1768330512715;1;"red";1791;15;930,429937559417
"1824";-974;49,0590076757468;14,0769443123195;5;"red";1792;3;864,576871242725
"1825";1296;46,0969300924567;12,5179484202747;19;"red";1792;28;1810,50690201369
"1826";188;49,3573475334884;12,9447599240601;7;"green";1792;9;1050,9070086845
"1827";-73;51,5813442219073;13,0003193661576;2;"blue";1792;19;1102,19317545915
"1828";363;45,7010371263915;11,4865463595016;2;"blue";1792;9;911,868744651412
"1829";545;64,3681249373772;17,2488130648648;21;"green";1792;1;1322,95215742559
"1830";629;43,7527130504475;11,4558753453533;19;"blue";1792;17;1623,46197636925
"1831";968;39,3097192752808;10,0025739066931;6;"blue";1792;33;1399,44862972367
"1832";1117;52,1369963598971;14,5593904920192;5;"green";1792;15;989,149684787165
"1833";-1796;51,1475779929371;12,8476925221384;10;"blue";1792;20;1385,85104859262
"1834";-720;48,6978147206357;13,2633406479771;4;"red";1792;17;1090,12997601192
"1835";600;52,402124987321;13,1811266730917;1;"red";1792;15;888,055121171968
"1836";-219;53,2493088216151;15,9984902116281;13;"blue";1792;27;1690,46355602718
"1837";-283;41,603592422099;11,6869841804906;9;"blue";1792;29;1490,96427379565
"1838";-928;61,5214773095827;17,7518423211352;1;"blue";1792;9;856,61115239863
"1839";-1395;53,6926489427041;14,8859864721936;7;"red";1792;7;996,812352086382
"1840";-544;50,9684561722568;14,2570168491522;35;"red";1792;37;2754,31414796462
"1841";1477;36,9949311342849;11,7125477458971;15;"red";1792;29;1690,40801059863
"1842";-633;53,5194263838282;14,7052310892905;6;"red";1792;38;1632,60874859978
"1843";710;54,0494667815191;14,1482977704647;12;"green";1793;3;1029,33229733335
"1844";202;51,6874190273454;13,4621294262526;3;"red";1793;1;751,674076079492
"1845";-1305;60,2988473691653;15,6821086148883;3;"red";1793;25;1260,83771692244
"1846";-506;46,2800558122528;13,0285530775574;25;"blue";1793;16;1902,81285752662
"1847";-1276;48,3580403799924;14,0713169356617;13;"red";1793;9;1291,19144899537
"1848";-1195;44,3656823951465;11,1910961829054;10;"blue";1793;27;1503,84411854423
"1849";-484;51,9177265571374;14,1679276496204;14;"blue";1793;24;1651,13693604359
"1850";639;40,5909872970117;10,2827975452538;17;"red";1793;19;1596,88622866295
"1851";762;55,2995673047733;16,4784989579806;2;"green";1793;21;1028,1820312428
"1852";-873;49,4477897729494;12,8885946212279;21;"red";1793;29;2058,62342395332
"1853";1296;38,8328358137277;11,7903809913395;2;"red";1793;6;712,238225929977
"1854";1455;58,1003973817448;14,6435174898248;1;"red";1793;8;663,09828259106
"1855";-795;44,2285689661486;13,300223153569;13;"green";1793;15;1385,34749202396
"1856";848;42,5589829974371;10,8170002790875;2;"red";1793;5;686,605250987257
"1857";-229;50,5776677434069;13,6594660857674;6;"green";1793;35;1545,78110092551
"1858";-1514;54,0460707796654;18,3462131120983;26;"green";1793;24;2091,42956864362
"1859";-1531;48,8764780018871;12,7012459934787;2;"blue";1793;21;1087,86135356735
"1860";132;36,9382021770162;9,71516815778569;0;"blue";1793;8;762,410785656514
"1861";-266;50,9039502929592;13,2220797688624;11;"red";1793;37;1793,81045815364
"1862";-403;46,0243594155651;11,8176954354393;5;"red";1793;25;1330,94944497345
"1863";73;53,4266336813622;14,3514048324491;5;"blue";1793;32;1444,09949995771
"1864";1655;53,9834889390635;14,9838770297259;5;"green";1793;33;1445,11349497238
"1865";481;51,0656053764867;12,9436695648617;13;"blue";1793;29;1681,21334847007
"1866";457;55,837748503141;14,4859355161469;14;"green";1793;8;1311,9147941046
"1867";178;48,3540483518617;12,8590824694679;4;"green";1793;13;1023,94144871143
"1868";-505;54,3137784626709;14,4063582473108;5;"red";1793;30;1404,48102539861
"1869";514;47,0444946600975;12,5079080232677;7;"red";1793;15;1082,84917271074
"1870";-1196;46,1900132755298;12,7558925181793;27;"green";1793;8;1847,23336337937
"1871";1492;62,2059747254885;17,6768898863584;3;"blue";1793;19;1011,35722656355
"1872";351;70,1000123207625;18,5248284180503;6;"blue";1793;32;1507,2287585235
"1873";158;48,7453261300123;12,6236969666356;5;"blue";1794;32;1443,30374687406
"1874";-632;40,4955058588567;10,7639210235075;1;"red";1794;8;824,5509591786
"1875";1127;51,6658469504886;13,4245168792835;7;"red";1794;31;1411,33343335882
"1876";-1584;54,5370391102148;14,4404851313636;5;"green";1794;29;1386,94966873742
"1877";703;47,3863566561873;12,1279330970558;13;"blue";1794;7;1157,74747714942
"1878";126;56,7092843267207;16,9996545416209;1;"blue";1794;16;947,089897424262
"1879";-1555;36,0425362051541;9,02776528813601;0;"red";1794;39;1373,05671741282
"1880";-6;47,755223256757;13,2849720439541;6;"red";1794;10;1040,42835400793
"1881";508;56,9409378892793;14,8959312642705;1;"red";1794;24;1058,36452160378
"1882";1480;51,0474455587826;12,9430679051687;20;"red";1794;13;1529,6093147005
"1883";481;54,482940157974;15,2928702304477;5;"red";1794;15;1105,35702716962
"1884";-1430;55,9808464767076;14,6238860597285;2;"red";1794;35;1393,8907835578
"1885";763;43,3575481340547;11,1110471295257;8;"red";1794;21;1232,6285672342
"1886";-1100;55,2776644748439;13,8916090344262;16;"red";1794;37;1979,36311394769
"1887";-1166;56,5511177859781;14,1834659034001;7;"blue";1794;29;1457,84528050716
"1888";-809;37,9332353983395;9,6982858359894;1;"red";1794;1;627,746834045661
"1889";1444;53,4159564319667;13,7933713104493;25;"red";1794;14;1777,20849400644
"1890";-1474;47,9574793804599;13,3186308332339;4;"red";1794;22;1197,12001052548
"1891";742;64,1066447375154;16,5865627943957;3;"green";1794;19;1003,43135704942
"1892";-184;53,6708543044396;14,8893838422667;3;"red";1794;0;725,388090610629
"1893";-905;43,1877511899792;14,3005149271133;45;"green";1794;4;2491,47573878089
"1894";-1076;37,7682601658285;11,1676846759865;10;"blue";1794;32;1665,72377722723
"1895";1621;52,1628410923734;13,901745408626;10;"red";1794;24;1477,15743299409
"1896";298;45,3193206110166;13,0066275575554;4;"blue";1795;22;1227,35104004601
"1897";-1763;58,2749867587733;15,354305725489;1;"black";1795;4;703,095827039281
"1898";1396;42,7529460156034;11,0578083692188;22;"red";1795;29;1958,82803964694
"1899";1473;64,3653623113902;18,3458616270555;2;"red";1795;19;945,539729745324
"1900";16;49,0029689454538;12,5057337140946;6;"red";1795;10;1035,74668880315
"1901";334;32,3042943803223;8,45373193429788;6;"blue";1795;36;1564,78084028758
"1902";1497;53,2447550370913;13,9885543337929;5;"red";1795;14;953,146621910724
"1903";1760;52,2016304955208;13,1612547596233;20;"red";1795;10;1608,33915154122
"1904";-931;59,3834936365414;15,066903831156;8;"blue";1795;15;1231,1332540259
"1905";1428;44,1343834686045;11,7263465082959;24;"red";1795;38;2212,20333152396
"1906";1279;49,1472655527498;12,427985801646;50;"red";1795;13;2753,64982309024
"1907";-1252;49,8148335839954;14,6865180605544;1;"blue";1795;17;991,460630616555
"1908";834;60,5177180223404;15,5876103303454;19;"black";1795;11;1481,3825020053
"1909";591;33,2250016257297;11,1920637170068;12;"red";1795;30;1587,8213074986
"1910";-863;43,0926548904809;12,2954990145064;30;"red";1795;31;2396,9920036355
"1911";-186;42,4726359946335;13,3397033890766;13;"blue";1795;21;1540,12641261638
"1912";1797;59,4387323020609;15,1298692431912;11;"red";1795;17;1397,14314963152
"1913";568;50,8824693428017;15,1113420187549;0;"blue";1796;39;1277,08095448701
"1914";-797;37,6011698937808;9,94134962239351;76;"red";1796;15;3952,70286041557
"1915";870;43,5149283221814;11,4495201753192;24;"green";1796;26;1990,37276177625
"1916";-823;48,9793910808097;12,728660326759;6;"red";1796;27;1367,82931781657
"1917";1386;37,6891612545899;10,2205301705639;4;"blue";1796;5;767,771679815757
"1918";999;46,316165582363;14,7305851393311;3;"blue";1796;6;716,193540587922
"1919";-902;43,1161562938644;12,6522832844598;2;"red";1796;12;951,287777778117
"1920";-753;70,5247873290102;18,9782419287793;29;"red";1796;27;2336,52102689434
"1921";827;45,9085563092326;14,009313800405;6;"blue";1796;37;1479,95332010922
"1922";-959;59,6137876778698;15,0077359624374;1;"red";1796;33;1274,84664562977
"1923";-724;39,9504618136135;11,3565962811027;2;"blue";1796;33;1367,88565172218
"1924";440;38,7889423331407;9,82952453191794;5;"red";1796;2;818,291688360711
"1925";161;48,6860635615275;12,4479680650932;5;"red";1796;39;1590,79236138522
"1926";255;43,4423588379298;14,3230127284256;10;"blue";1796;5;1107,80689739112
"1927";-1640;40,1255847541346;10,2697154025014;7;"blue";1796;22;1335,72866521024
"1928";108;49,3235126548713;12,4010990953221;5;"green";1796;7;933,050526514242
"1929";1539;43,9892829318706;12,5064219542216;1;"blue";1796;24;1136,92244062727
"1930";1005;48,8852126531899;12,6355636321179;12;"blue";1796;8;1157,18230027671
"1931";-1506;51,2781266026918;13,8365497215307;12;"green";1797;4;1157,64768159958
"1932";-263;45,2613434250245;11,411510682636;17;"green";1797;20;1714,13332704236
"1933";1747;47,8879677726844;12,3195818848664;17;"red";1797;27;1856,26303727187
"1934";647;62,0014724242435;16,1902074225929;6;"blue";1797;12;968,714973101622
"1935";-252;46,4765738927547;11,8692811029781;10;"red";1797;7;1141,53477006233
"1936";-112;56,6228552613581;14,2413682531609;1;"red";1797;10;845,799269340749
"1937";769;52,4632726449828;13,4958421814212;3;"red";1797;28;1154,90491110971
"1938";1373;57,3810654039586;16,5480012616926;8;"red";1797;22;1254,27137850024
"1939";1031;45,8912131414282;11,5217556444129;12;"blue";1797;6;1097,09179064098
"1940";-1484;47,0827703245085;11,915931076559;3;"blue";1797;31;1338,72698329578
"1941";1024;59,0944720966042;15,4259181295812;6;"green";1797;15;1030,40108203585
"1942";-223;49,1293117915785;12,353835926275;8;"red";1797;29;1497,61026515177
"1943";967;50,9172619154358;14,3461511857056;13;"blue";1797;21;1444,41628966809
"1944";145;48,3041276258953;14,7906991949343;1;"red";1797;22;1040,00716999365
"1945";-345;52,7540327525678;14,3771307465894;11;"red";1797;8;1165,23537843271
"1946";1406;59,2115041372841;15,4749904298575;25;"blue";1797;3;1555,35697498208
"1947";-412;56,645717858969;14,9693118857304;23;"red";1797;22;1957,52508918747
"1948";1742;53,079088703626;13,7480077293909;30;"green";1797;16;2099,80940210947
"1949";832;36,1379245911952;10,5354796938574;7;"blue";1797;2;856,202511494303
"1950";931;53,2880285710841;15,9923919278054;25;"blue";1798;35;2210,63160656206
"1951";79;57,1968202312643;15,5370458294492;16;"red";1798;18;1597,70363470796
"1952";-697;48,3992619220324;12,2227632164411;1;"red";1798;19;1033,84981858025
"1953";1100;37,1139317049012;12,0062503470319;15;"green";1798;39;1903,23441645186
"1954";-1446;39,6504310000997;10,6662276690952;8;"red";1798;23;1371,01859322696
"1955";1456;53,2057135428639;15,0124442974048;28;"red";1798;24;2074,20093991955
"1956";1565;35,5480183986911;9,50647828844286;5;"green";1798;14;1086,74262491939
"1957";-536;49,0238296452513;12,2625386387554;18;"green";1798;33;1987,00525310755
"1958";-1412;55,0981816371009;13,9219535836261;8;"blue";1798;33;1576,18245794576
"1959";774;55,5546523832343;15,0730769917088;7;"red";1798;14;1026,34380183234
"1960";-1336;39,3302670738127;11,3433010624931;39;"blue";1798;20;2570,89392814744
"1961";211;59,6031363110739;14,9918875151251;9;"blue";1798;33;1632,40370240457
"1962";-224;64,4393374150523;16,7488313488173;8;"red";1798;27;1451,67379524865
"1963";1026;51,8906151665441;13,1488598020298;7;"green";1798;3;828,837995469824
"1964";702;54,0443407753278;16,3374100886882;10;"blue";1798;28;1460,31612433417
"1965";-1634;63,9094267024852;17,433572627129;6;"blue";1798;13;1070,44577098772
"1966";596;43,7310806848745;13,4528966824079;20;"blue";1798;4;1406,89910615054
"1967";-602;45,1461020434167;11,5431813599049;2;"green";1798;6;769,290816167667
"1968";727;40,465960041841;10,125640279592;15;"green";1798;33;1748,55549870474
"1969";-466;48,932063822858;14,3828526317837;15;"blue";1798;28;1765,49460655357
"1970";-1719;56,3782843829243;14,974539744829;3;"green";1798;20;1083,76851283189
"1971";-1894;50,0040770280102;13,2748857357483;14;"green";1799;2;1226,11295979476
"1972";744;47,219345300879;13,8175699298947;28;"red";1799;12;1835,14287210855
"1973";157;60,8635184274931;15,9622905686602;7;"green";1799;27;1408,76354964006
"1974";-311;58,0116821369497;15,7262955523286;23;"green";1799;27;2075,00737046784
"1975";298;48,5584592182165;17,6222422426414;3;"red";1799;15;1038,43943958748
"1976";1733;35,0348596775305;9,69166559948474;19;"red";1799;28;1951,05525744445
"1977";-86;47,7914921832504;12,4383961038024;4;"green";1799;31;1398,18369996744
"1978";1510;53,342023182136;16,1714926708111;1;"green";1799;39;1418,73842641162
"1979";1789;45,1329668139689;13,2630717620267;6;"red";1799;35;1553,81626159196
"1980";-159;41,7411052446628;10,4578202789121;2;"green";1799;14;957,320207755256
"1981";-1337;71,3089548958823;22,2426474215647;18;"red";1799;11;1531,24950265625
"1982";-1421;56,7070073499303;14,2965876902258;13;"red";1799;11;1317,28264983363
"1983";-1957;39,3423771965391;12,2998171641879;5;"red";1799;1;836,069241757754
"1984";-290;44,7484533073429;12,0452702891139;12;"blue";1799;21;1493,0790325564
"1985";-1407;43,0166184351933;11,2473255046528;1;"red";1799;17;1000,07148915763
"1986";1599;43,0929578651058;11,8437199637519;10;"blue";1799;6;1133,07489261068
"1987";545;41,7659039331686;11,099060818136;2;"blue";1799;0;611,878067614412
"1988";1635;52,592882163998;15,0151970628247;13;"red";1799;15;1438,40411809325
"1989";793;53,7698558821426;15,7865587058563;2;"green";1799;8;720,219088309829
"1990";-351;42,2087065993876;10,5989230185228;17;"red";1799;3;1337,07463365311
"1991";-1163;44,2825244982269;11,7138481051779;4;"red";1799;22;1217,97789794658
"1992";-683;39,0089094741795;10,275280314278;4;"blue";1800;35;1438,4927398571
"1993";-1368;44,9856900709859;11,4085567110961;14;"blue";1800;7;1325,79416835792
"1994";-1372;56,1536728040107;14,1216035577886;32;"blue";1800;25;2346,30914985669
"1995";-1509;67,1891734915544;17,0277598223222;4;"red";1800;28;1317,06449939457
"1996";1232;48,2197514608756;12,612466691627;2;"red";1800;6;701,648654431375
"1997";1468;51,5122522752992;13,2941997991932;10;"green";1800;39;1701,57158515099
"1998";-1725;48,5279376421345;14,0603822646984;7;"green";1800;12;1112,98654327432
"1999";1003;53,9967939175006;14,5038875571798;44;"blue";1800;38;3041,91470081026
"2000";-1064;49,2645478669258;12,4491363232068;18;"green";1800;8;1489,06636038066
